0 A B C D E
1 942 147 160 502 730
2 33 658 250 119 772
3 568 752 411 121 632
4 966 906 887 451 253
5 496 999 79 867 248
6 78 484 301 107 59
7 445 984 652 293 41
8 513 690 248 474 825
9 602 156 214 62 386
10 499 252 449 499 592
11 237 283 235 833 879
12 804 955 525 664 716
13 960 855 485 319 631
14 174 997 78 899 584
15 986 153 861 947 467
16 319 958 752 90 529
17 465 272 995 36 354
18 -226 834 535 868 76
19 840 320 550 80 266
20 584 140 861 733 466
21 397 436 85 567 986
22 -389 394 146 992 503
23 39 660 615 873 25
24 810 627 672 481 601
25 743 734 100 651 276
26 113 398 518 675 390
27 554 806 19 534 651
28 858 970 470 308 230
29 355 230 206 959 197
30 83 482 217 152 -361
31 726 954 378 975 521
32 964 389 576 980 902
33 885 8 986 886 299
34 71 93 665 17 39
35 -762 294 858 973 874
36 806 2 368 385 41
37 131 297 910 79 -832
38 409 590 576 683 913
39 77 203 351 960 25
40 707 450 215 35 985
41 471 362 581 659 167
42 733 251 543 -10 293
43 -671 -637 530 405 33
44 257 133 505 855 451
45 529 755 632 315 143
46 698 309 967 482 824
47 74 964 536 843 211
48 423 168 423 991 987
49 535 932 482 604 301
50 293 838 83 98 60
51 10 581 989 -954 -892
52 603 171 -40 345 938
53 212 318 992 236 505
54 6 24 147 17 111
55 159 313 986 659 641
56 844 81 789 714 977
57 988 878 172 4 392
58 760 743 495 755 722
59 248 479 363 909 685
60 824 227 883 105 198
61 105 563 346 815 785
62 938 992 230 879 719
63 144 716 809 487 393
64 316 53 124 581 68
65 958 871 259 474 954
66 412 -593 173 909 252
67 763 80 719 891 447
68 438 174 106 844 157
69 236 456 436 125 819
70 501 508 146 876 853
71 327 559 699 333 196
72 778 953 724 68 754
73 904 173 612 848 381
74 -988 972 439 595 698
75 737 801 685 132 591
76 670 123 848 161 949
77 353 978 975 128 653
78 171 188 518 272 662
79 175 657 679 417 548
80 520 -445 702 473 332
81 357 635 860 31 578
82 580 701 379 370 619
83 677 745 771 168 604
84 186 340 -651 125 428
85 151 454 754 781 410
86 863 282 658 303 163
87 778 678 162 342 855
88 193 403 573 -961 939
89 439 495 533 28 269
90 123 668 850 647 310
91 67 632 983 282 45
92 677 705 656 582 -149
93 165 864 176 689 295
94 834 106 994 663 136
95 472 434 956 863 896
96 797 441 605 431 46
97 660 465 -937 110 370
98 302 97 601 176 268
99 42 414 715 762 507
100 685 545 618 635 143
101 45 678 456 198 940
102 -572 510 525 462 592
103 512 985 67 206 440
104 307 420 407 2 709
105 191 878 -139 654 257
106 321 894 276 791 529
107 592 994 964 11 102
108 329 691 345 388 45
109 700 337 932 909 529
110 56 723 41 640 249
111 405 462 938 485 699
112 368 111 220 652 429
113 697 771 601 163 561
114 589 6 706 769 62
115 -55 703 641 416 101
116 193 550 821 788 597
117 479 427 276 688 561
118 986 366 675 507 947
119 799 926 242 636 145
120 325 142 552 874 535
121 412 329 935 752 953
122 647 884 658 28 768
123 502 137 582 940 269
124 250 639 283 755 175
125 74 703 269 156 944
126 403 194 433 783 824
127 794 904 280 784 49
128 342 627 867 881 642
129 522 764 96 491 151
130 523 808 952 979 546
131 932 855 621 511 7
132 343 648 142 532 113
133 27 516 654 527 333
134 713 690 862 609 103
135 715 617 199 313 419
136 941 69 699 677 86
137 933 204 377 223 988
138 535 419 943 735 356
139 659 976 132 835 483
140 255 93 524 839 293
141 557 212 737 252 287
142 389 996 777 895 417
143 902 24 818 811 655
144 212 824 348 777 430
145 172 146 146 165 807
146 705 462 330 392 857
147 304 533 661 764 93
148 304 616 984 308 314
149 251 116 525 820 209
150 511 936 472 431 950
151 1000 997 365 610 708
152 875 791 414 842 749
153 111 782 477 98 27
154 183 417 781 208 424
155 273 51 497 341 386
156 405 310 115 409 954
157 668 784 847 961 372
158 179 952 619 281 744
159 193 157 751 205 641
160 917 243 443 419 940
161 693 60 561 354 492
162 280 718 768 802 409
163 863 242 931 800 28
164 164 871 894 897 40
165 233 170 767 576 946
166 486 397 512 702 896
167 544 260 194 873 299
168 21 124 52 358 257
169 577 907 974 474 434
